,,ОБРАЗЕЦ,,,,,,
Тип рекламной кампании,,Единая ставка,,,Руч. Поиск,Руч. Поиск,Общая и органика,
Зоны показов,,Поиск,Полки,Каталог,Поиск,Полки,Общая,ОРГ
Доля трафика (%),,,,,100%,100%,-,-
Затраты (руб),,,,,,,0,-
Показы ,,,,,,,0,-
CTR,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-,-
CPM,,,,,,,-,-
CPC,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-,-
Клики ,,,,,,,,0
Корзины ,,,,,,,,0
Заказы,,,,,,,,0
Заказы (руб.),,,,,,,,0
Выкупы ≈ (руб.),,0,0,0,0,0,0,-
Стоимость заказа,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-
Стоимость корзины,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-
ДРР от заказов (%),,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-
ДРР от продаж ≈ (%),,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-
прибыль (без налогов и костов вне ВБ),,#DIV/0!,,,,,,
Процент выкупа %,,24%,,,,,,
Себестоимость,,1500,,,,,,
Логистика,,336,,,,,,
Себес,,Остатки:,,,,,,
Логистика,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Остатки на складах WB,,,,,99,
,,Едут к клиенту,,,,,139,
,,Возвращаются на склад,,,,,76,
,,Ср. кол-во заказов/день	,,,,,#REF!,
,,Дней до распродажи в 0,,,,,#REF!,
Ключи,,Частота,поз. ОРГ,,,,поз. БУСТ,CTR (%)
костюмы спортивные женский,,2873394,400,,,,,
весенний женский костюм,,160062,400,,,,,
,,Обзор:,,,,,,
,,СПП,18%,,,Упал на,,"5,00%"
,,Цена WBSELLER (наша),,,,"р.5 025,00",,
,,Цена WB (на сайте),,,,р.4 145,,
,,Акция,,,,Не участвуем,,
,,Негативные отзывы,,,,Без изменений,,
,,Действия:,,,,,,
,,Включили РК единая ставка?,,,,Нет,,
,,Включили РК руч. поиск?,,,,Нет,,
,,Включили РК руч. полки?,,,,Нет,,
,,Меняли цену? (WBSeller),,,,Нет,,
,,Комментарии:,,,,,,
,,"Не льём рекламу.
Если заказы не просядут, то и не будем лить.",,,,,,